identifier             | translation
SITE_TITLE             | Unnamed Dawn Application
SITE_DESCRIPTION       | Unnamed Dawn Application
SITE_KEYWORDS          | Dawn, Database Applications for the Web in No-time
SITE_GENERATED         | generated by %1 in %2 seconds
SITE_DEVELOPER         | developer
SITE_WEBMASTER         | webmaster
FORM_TITLE_MENU        | Menu
LOCALE_DUTCH           | Dutch
LOCALE_ENGLISH_US      | English (US)
LOGIN_WELCOME          | Please enter your username and password:
LOGIN_FAILED           | <b>Login failed</b><br />Incorrect username/password combination
USER_LOGOUT            | Logout
USER_LOGIN             | Login
USER_NAME              | Username:
USER_PASSWORD          | Password:
BUTTON_CANCEL          | Cancel
BUTTON_DELETE          | Delete
BUTTON_DELETE_QUESTION | Are you sure this record must be deleted?
BUTTON_EDIT            | Edit
BUTTON_NEW             | New
BUTTON_OK              | Ok
BUTTON_UPDATE          | Update
BUTTON_SEARCH          | Search
BUTTON_CLEAR           | Clear
BUTTON_UPLOAD          | Upload
PAGER_EMPTY            | - no results -
PAGER_FULL             | page <b>%1</b> of <b>%2</b>
ERROR_RECORD_EMPTY     | No active record can be shown; either because a search was executed that returned no records, or because the table is empty.
ERROR_RELATION_EMPTY   | - no records found -
ERROR_RECORD_DELETE    | The record couldn't be deleted due to the following database error:<br />%1
ERROR_RECORD_INSERT    | The record couldn't be inserted due to the following database error:<br />%1
ERROR_RECORD_UPDATE    | The record couldn't be updated due to the following database error:<br />%1
YES                    | Yes
NO                     | No
